Regione;Anno;Media;Minimo;Massimo;DeviazioneStandard;Conteggio
Abruzzo;2002;269.2;170;355;77.24441727400111;5
Abruzzo;2003;235.33333333333334;97;351;128.50810609970614;3
Abruzzo;2004;208.42857142857142;19;365;124.79964896165527;7
Abruzzo;2005;224.42857142857142;75;365;113.41348706224954;7
Abruzzo;2006;209.14285714285714;45;363;138.57901304722463;7
Abruzzo;2007;178.875;6;362;136.42207351765748;8
Abruzzo;2008;206.625;0;363;136.34613253460054;8
Abruzzo;2009;232.44444444444446;122;361;93.99748814610834;9
Abruzzo;2010;269.6666666666667;114;361;99.17156850630124;9
Abruzzo;2011;262.8888888888889;139;362;79.9694386069523;9
Abruzzo;2012;228.88888888888889;71;361;101.183551583798;9
Abruzzo;2013;180.5;78;344;120.1818067207623;4
Abruzzo;2014;158.8;81;305;87.66242068298138;5
Abruzzo;2015;165.4;104;249;54.33967243184302;5
Abruzzo;2016;123.66666666666667;29;267;83.98491928118207;6
Abruzzo;2017;77.33333333333333;0;257;89.44804291292449;15
Abruzzo;2018;9.2;0;42;15.043745734167592;15
Abruzzo;2019;74.4;0;211;68.38316417698981;15
Abruzzo;2020;58.733333333333334;0;193;62.14667749614233;15
Abruzzo;2021;70.46666666666667;0;256;86.97854141491835;15
Abruzzo;2022;71.8;0;206;79.85093254666116;15
Basilicata;2003;48.0;14;82;48.08326112068523;2
Basilicata;2004;34.75;0;133;65.56104026020331;4
Basilicata;2005;12.75;0;34;14.863265679744362;4
Basilicata;2006;16.875;0;66;22.94986772448653;8
Basilicata;2007;13.25;0;41;13.687846538339873;8
Basilicata;2008;33.55555555555556;2;182;56.949782947591444;9
Basilicata;2009;22.0;1;61;22.187512575449155;8
Basilicata;2010;13.666666666666666;0;39;13.536986370680882;9
Basilicata;2011;15.875;1;42;14.66226936245351;8
Basilicata;2012;13.375;0;61;20.120618422759417;8
Basilicata;2013;12.166666666666666;0;58;18.249948111175716;12
Basilicata;2014;16.666666666666668;0;83;24.98848219528834;12
Basilicata;2015;35.333333333333336;0;162;55.088908854576886;12
Basilicata;2016;24.333333333333332;0;158;50.59524471606782;12
Basilicata;2017;5.25;0;41;11.631657428993279;12
Basilicata;2018;1.0714285714285714;0;6;1.9792883614022536;14
Basilicata;2019;4.0;0;33;9.273618495495704;14
Basilicata;2020;2.7857142857142856;0;12;4.041678467563301;14
Basilicata;2021;0.8571428571428571;0;4;1.292412345317728;14
Basilicata;2022;1.2857142857142858;0;4;1.5898026693500449;14
Calabria;2005;90.0;90;90;;1
Calabria;2006;0.0;0;0;;1
Calabria;2007;23.666666666666668;0;71;40.99186911246343;3
Calabria;2008;76.33333333333333;0;228;131.3481379134601;3
Calabria;2009;43.75;0;165;80.97067370350824;4
Calabria;2010;102.125;0;204;88.65573464652067;8
Calabria;2011;69.5;0;161;76.44540535571775;6
Calabria;2012;60.166666666666664;1;180;79.2903945422563;6
