Regione;Anno;Media;Minimo;Massimo;DeviazioneStandard;Conteggio
Abruzzo;2002;0.0;0;0;0.0;3
Abruzzo;2003;0.0;0;0;0.0;2
Abruzzo;2004;0.0;0;0;0.0;5
Abruzzo;2005;0.0;0;0;0.0;5
Abruzzo;2006;0.0;0;0;0.0;5
Abruzzo;2007;0.0;0;0;0.0;7
Abruzzo;2008;0.0;0;0;0.0;5
Abruzzo;2009;0.0;0;0;0.0;5
Abruzzo;2010;0.0;0;0;0.0;5
Abruzzo;2011;0.0;0;0;0.0;5
Abruzzo;2012;0.0;0;0;0.0;5
Abruzzo;2013;0.0;0;0;0.0;3
Abruzzo;2014;0.0;0;0;0.0;3
Abruzzo;2015;0.0;0;0;0.0;3
Abruzzo;2016;0.0;0;0;0.0;4
Abruzzo;2017;0.0;0;0;0.0;12
Abruzzo;2018;0.0;0;0;0.0;11
Abruzzo;2019;0.0;0;0;0.0;12
Abruzzo;2020;0.08333333333333333;0;1;0.2886751345948129;12
Abruzzo;2021;0.0;0;0;0.0;12
Abruzzo;2022;0.0;0;0;0.0;12
Basilicata;2003;0.0;0;0;0.0;3
Basilicata;2004;0.0;0;0;0.0;4
Basilicata;2005;0.0;0;0;0.0;3
Basilicata;2006;0.0;0;0;0.0;5
Basilicata;2007;0.0;0;0;0.0;4
Basilicata;2008;0.0;0;0;0.0;5
Basilicata;2009;0.0;0;0;0.0;5
Basilicata;2010;0.0;0;0;0.0;5
Basilicata;2011;0.0;0;0;0.0;9
Basilicata;2012;0.0;0;0;0.0;9
Basilicata;2013;0.0;0;0;0.0;13
Basilicata;2014;0.0;0;0;0.0;13
Basilicata;2015;0.0;0;0;0.0;13
Basilicata;2016;0.0;0;0;0.0;13
Basilicata;2017;0.07692307692307693;0;1;0.2773500981126146;13
Basilicata;2018;0.0;0;0;0.0;15
Basilicata;2019;0.0;0;0;0.0;15
Basilicata;2020;0.0;0;0;0.0;15
Basilicata;2021;0.0;0;0;0.0;15
Basilicata;2022;0.0;0;0;0.0;15
Calabria;2005;1.0;1;1;;1
Calabria;2006;0.0;0;0;0.0;3
Calabria;2007;0.6666666666666666;0;2;1.1547005383792517;3
Calabria;2008;0.6666666666666666;0;2;1.1547005383792517;3
Calabria;2009;0.0;0;0;0.0;3
Calabria;2010;0.0;0;0;0.0;6
Calabria;2011;0.0;0;0;0.0;6
Calabria;2012;0.0;0;0;0.0;7
Calabria;2013;0.0;0;0;0.0;15
Calabria;2014;0.0;0;0;0.0;13
Calabria;2015;0.0;0;0;0.0;14
Calabria;2016;0.0;0;0;0.0;14
Calabria;2017;0.0;0;0;0.0;13
Calabria;2018;0.0;0;0;0.0;13
Calabria;2019;0.0;0;0;0.0;13
Calabria;2020;0.0;0;0;0.0;13
Calabria;2021;0.15384615384615385;0;2;0.554700196225229;13
Calabria;2022;0.0;0;0;0.0;13
Campania;2002;0.6;0;2;0.8944271909999159;5
Campania;2003;0.5;0;1;0.5477225575051661;6
Campania;2006;0.0;0;0;0.0;6
Campania;2007;0.16666666666666666;0;1;0.408248290463863;6
Campania;2008;0.1875;0;2;0.5439056290693572;16
Campania;2009;0.16666666666666666;0;1;0.3892494720807615;12
Campania;2010;0.0;0;0;0.0;15
Campania;2011;0.0;0;0;0.0;15
Campania;2012;0.0;0;0;0.0;15
Campania;2013;0.0;0;0;0.0;15
Campania;2014;0.0;0;0;0.0;15
Campania;2015;0.0;0;0;0.0;3
Campania;2016;0.0;0;0;0.0;15
Campania;2017;0.21052631578947367;0;2;0.5353033790313108;19
Campania;2018;0.05;0;1;0.22360679774997896;20
Campania;2019;0.0;0;0;0.0;21
Campania;2020;0.0;0;0;0.0;21
Campania;2021;0.0;0;0;0.0;21
Campania;2022;0.0;0;0;0.0;21
Emilia-Romagna;2002;0.0;0;0;0.0;5
Emilia-Romagna;2003;0.7857142857142857;0;6;1.7177163475234933;14
Emilia-Romagna;2004;0.08333333333333333;0;1;0.28867513459481287;12
Emilia-Romagna;2005;0.045454545454545456;0;1;0.21320071635561041;22
Emilia-Romagna;2006;25.181818181818183;0;116;39.28847688043424;22
Emilia-Romagna;2007;0.21428571428571427;0;1;0.41785544701867244;28
Emilia-Romagna;2008;0.05;0;1;0.22072142786315227;40
Emilia-Romagna;2009;0.0;0;0;0.0;30
Emilia-Romagna;2010;0.0;0;0;0.0;29
Emilia-Romagna;2011;0.0;0;0;0.0;34
Emilia-Romagna;2012;0.0;0;0;0.0;32
Emilia-Romagna;2013;0.030303030303030304;0;1;0.17407765595569782;33
Emilia-Romagna;2014;0.0;0;0;0.0;34
Emilia-Romagna;2015;0.0;0;0;0.0;34
Emilia-Romagna;2016;0.0;0;0;0.0;34
Emilia-Romagna;2017;0.0;0;0;0.0;34
Emilia-Romagna;2018;0.0;0;0;0.0;34
Emilia-Romagna;2019;0.0;0;0;0.0;34
Emilia-Romagna;2020;0.0;0;0;0.0;34
Emilia-Romagna;2021;0.0;0;0;0.0;34
Emilia-Romagna;2022;0.0;0;0;0.0;34
Friuli Venezia Giulia;2002;0.0;0;0;0.0;2
Friuli Venezia Giulia;2003;2.5454545454545454;0;17;5.106146029318714;11
Friuli Venezia Giulia;2004;0.2608695652173913;0;2;0.540823555863717;23
Friuli Venezia Giulia;2005;0.0;0;0;0.0;23
Friuli Venezia Giulia;2006;0.09523809523809523;0;1;0.30079260375911915;21
Friuli Venezia Giulia;2007;0.1;0;2;0.4472135954999579;20
Friuli Venezia Giulia;2008;0.0;0;0;0.0;20
Friuli Venezia Giulia;2009;0.0;0;0;0.0;19
Friuli Venezia Giulia;2010;0.0;0;0;0.0;19
Friuli Venezia Giulia;2011;0.0;0;0;0.0;17
Friuli Venezia Giulia;2012;0.0;0;0;0.0;16
Friuli Venezia Giulia;2013;0.045454545454545456;0;1;0.21320071635561041;22
Friuli Venezia Giulia;2014;0.0;0;0;0.0;21
Friuli Venezia Giulia;2015;0.0;0;0;0.0;20
Friuli Venezia Giulia;2016;0.0;0;0;0.0;19
Friuli Venezia Giulia;2017;0.0;0;0;0.0;20
Friuli Venezia Giulia;2018;0.0;0;0;0.0;15
Friuli Venezia Giulia;2019;0.0;0;0;0.0;19
Friuli Venezia Giulia;2020;0.0;0;0;0.0;20
Friuli Venezia Giulia;2021;0.0;0;0;0.0;17
Friuli Venezia Giulia;2022;0.0;0;0;0.0;20
Lazio;2002;0.1111111111111111;0;1;0.33333333333333337;9
Lazio;2003;0.46153846153846156;0;3;0.8770580193070292;13
Lazio;2004;0.0;0;0;0.0;14
Lazio;2005;0.07142857142857142;0;1;0.26726124191242434;14
Lazio;2006;0.21428571428571427;0;2;0.5789342235218394;14
Lazio;2007;0.23076923076923078;0;1;0.4385290096535146;13
Lazio;2008;0.2857142857142857;0;4;1.0690449676496976;14
Lazio;2009;0.0;0;0;0.0;16
Lazio;2010;0.0;0;0;0.0;21
Lazio;2011;0.0;0;0;0.0;15
Lazio;2012;0.0;0;0;0.0;19
Lazio;2013;0.0;0;0;0.0;21
Lazio;2014;0.0;0;0;0.0;21
Lazio;2015;0.0;0;0;0.0;21
Lazio;2016;0.0;0;0;0.0;24
Lazio;2017;0.0;0;0;0.0;24
Lazio;2018;0.0;0;0;0.0;24
Lazio;2019;0.0;0;0;0.0;26
Lazio;2020;0.0;0;0;0.0;26
Lazio;2021;0.0;0;0;0.0;26
Lazio;2022;0.0;0;0;0.0;26
Liguria;2002;0.0;0;0;0.0;6
Liguria;2003;0.11764705882352941;0;1;0.3321055820775357;17
Liguria;2004;0.0;0;0;0.0;15
Liguria;2005;0.0;0;0;0.0;7
Liguria;2006;0.0;0;0;0.0;7
Liguria;2007;0.25;0;2;0.7071067811865476;8
Liguria;2008;0.0;0;0;0.0;8
Liguria;2009;0.0;0;0;0.0;9
Liguria;2010;0.0;0;0;0.0;10
Liguria;2011;0.0;0;0;0.0;10
Liguria;2012;0.0;0;0;0.0;10
Liguria;2013;0.0;0;0;0.0;12
Liguria;2014;0.0;0;0;0.0;12
Liguria;2015;0.0;0;0;0.0;11
Liguria;2016;0.18181818181818182;0;1;0.40451991747794525;11
Liguria;2017;0.0;0;0;0.0;11
Liguria;2018;0.0;0;0;0.0;11
Liguria;2019;0.0;0;0;0.0;12
Liguria;2020;0.0;0;0;0.0;12
Liguria;2021;0.0;0;0;0.0;11
Liguria;2022;0.0;0;0;0.0;12
Lombardia;2002;1.434782608695652;0;7;1.8543826945551487;23
Lombardia;2003;4.515151515151516;0;19;5.385868152635725;33
Lombardia;2004;1.0;0;7;1.7580981459830651;23
Lombardia;2005;1.1153846153846154;0;8;2.303509028884811;26
Lombardia;2006;3.2666666666666666;0;23;5.023622359333492;30
Lombardia;2007;1.0714285714285714;0;7;1.673215935838603;42
Lombardia;2008;0.5217391304347826;0;6;1.3942601452587695;46
Lombardia;2009;0.28;0;3;0.6401530429259451;50
Lombardia;2010;0.24;0;4;0.7439552323595164;50
Lombardia;2011;0.2647058823529412;0;2;0.5672273623252055;34
Lombardia;2012;0.3142857142857143;0;4;0.8321279798143528;35
Lombardia;2013;0.2;0;2;0.46409548089225716;40
Lombardia;2014;0.35;0;3;0.7696152885095853;40
Lombardia;2015;1.175;0;16;3.020337050303475;40
Lombardia;2016;0.6304347826086957;0;5;1.2885598447219873;46
Lombardia;2017;0.6956521739130435;0;7;1.4278120825217755;46
Lombardia;2018;0.043478260869565216;0;1;0.2061845709423622;46
Lombardia;2019;0.7391304347826086;0;4;1.0839184595960805;46
Lombardia;2020;0.10869565217391304;0;2;0.4335005251600161;46
Lombardia;2021;0.0;0;0;0.0;46
Lombardia;2022;0.02127659574468085;0;1;0.14586499149789453;47
Marche;2002;0.4;0;2;0.8944271909999159;5
Marche;2003;0.0;0;0;0.0;5
Marche;2004;0.0;0;0;0.0;5
Marche;2005;0.0;0;0;0.0;4
Marche;2006;0.0;0;0;0.0;6
Marche;2007;0.0;0;0;0.0;15
Marche;2008;0.0;0;0;0.0;18
Marche;2009;0.0;0;0;0.0;16
Marche;2010;0.0;0;0;0.0;13
Marche;2011;0.0;0;0;0.0;12
Marche;2012;0.0;0;0;0.0;15
Marche;2013;0.0;0;0;0.0;11
Marche;2014;0.0;0;0;0.0;11
Marche;2015;0.0;0;0;0.0;10
Marche;2016;0.0;0;0;0.0;10
Marche;2017;0.3333333333333333;0;3;1.0;9
Marche;2018;0.0;0;0;0.0;9
Marche;2019;0.0;0;0;0.0;9
Marche;2020;0.0;0;0;0.0;9
Marche;2021;0.0;0;0;0.0;9
Marche;2022;0.0;0;0;0.0;9
