Regione;Anno;Media;Minimo;Massimo;DeviazioneStandard;Conteggio
Abruzzo;2002;185.66666666666666;117;272;78.99578047803143;3
Abruzzo;2003;117.33333333333333;68;183;59.21430007467227;3
Abruzzo;2004;70.33333333333333;41;112;37.072002014098636;3
Abruzzo;2005;67.33333333333333;38;95;28.53652630109932;3
Abruzzo;2006;89.66666666666667;59;122;31.53305144341939;3
Abruzzo;2007;46.4;21;75;22.62299714891906;5
Abruzzo;2008;48.333333333333336;16;72;26.035872688785883;6
Abruzzo;2009;28.2;4;66;23.217809256402006;10
Abruzzo;2010;41.3;0;116;32.78566760034025;10
Abruzzo;2011;44.6;7;141;39.49739794523742;10
Abruzzo;2012;34.5;1;126;36.809570011675554;10
Abruzzo;2013;20.5;6;39;11.77709641634983;6
Abruzzo;2014;21.666666666666668;10;40;12.612163441165304;6
Abruzzo;2015;21.833333333333332;5;48;17.893201688537093;6
Abruzzo;2016;13.428571428571429;0;36;12.218253323847657;7
Abruzzo;2017;7.2727272727272725;0;31;8.967618514309237;11
Abruzzo;2018;9.5;1;26;8.3032791380541;10
Abruzzo;2019;6.7;2;14;4.922736366426028;10
Abruzzo;2020;6.7;0;18;6.71730766172149;10
Abruzzo;2021;7.8;5;12;2.440400695696417;10
Abruzzo;2022;2.9;0;9;2.884826203122507;10
Basilicata;2003;8.75;2;22;9.215023964519391;4
Basilicata;2004;10.142857142857142;0;30;10.05698051817031;7
Basilicata;2005;19.833333333333332;7;49;17.04601615236436;6
Basilicata;2006;15.4;1;47;16.667999946670932;10
Basilicata;2007;14.5;5;31;9.021579068482906;10
Basilicata;2008;10.2;3;30;8.230026326405849;10
Basilicata;2009;3.3;1;9;3.3681514877517675;10
Basilicata;2010;2.8;0;12;3.5839146815241634;10
Basilicata;2011;1.3;0;5;1.567021236472421;10
Basilicata;2012;3.8;0;9;3.259175083088085;10
Basilicata;2013;1.3333333333333333;0;8;2.0930724738891344;15
Basilicata;2014;3.933333333333333;0;12;4.431489054267791;15
Basilicata;2015;2.3333333333333335;0;12;3.3309515300043158;15
Basilicata;2016;4.666666666666667;0;11;4.4986770542121866;15
Basilicata;2017;3.2666666666666666;0;13;3.7314621160892845;15
Basilicata;2018;2.8333333333333335;0;6;2.587850400809463;12
Basilicata;2019;6.0;0;12;3.302891295379082;12
Basilicata;2020;3.25;0;9;2.490892501603683;12
Basilicata;2021;8.916666666666666;0;14;4.870287154747342;12
Basilicata;2022;5.666666666666667;0;12;3.8217876191725524;12
Calabria;2007;0.5;0;1;0.7071067811865476;2
Calabria;2008;3.0;3;3;0.0;2
Calabria;2009;2.0;1;4;1.4142135623730951;4
Calabria;2010;14.8;0;30;14.131525041551601;5
Calabria;2011;12.0;0;27;13.435028842544403;5
Calabria;2012;4.0;0;8;4.0;5
Calabria;2013;5.647058823529412;0;20;7.017310528886656;17
Calabria;2014;8.75;0;32;8.54015283975151;20
Calabria;2015;10.75;0;28;7.369031929564925;20
Calabria;2016;10.95;3;31;7.243690539468051;20
Calabria;2017;6.95;0;15;3.817894156400055;20
Calabria;2018;9.5;1;27;5.345928111041249;20
Calabria;2019;10.85;1;19;4.95532674582562;20
Calabria;2020;6.0;3;14;2.695024655682549;20
Calabria;2021;16.65;4;35;6.815423684555495;20
Calabria;2022;3.2;0;16;4.11160104556543;20
Campania;2001;96.5;69;124;38.890872965260115;2
Campania;2002;44.0;44;44;;1
Campania;2003;33.5;0;81;25.35027344302944;12
Campania;2006;26.75;13;36;8.90826261720785;8
Campania;2007;26.88888888888889;3;57;17.135084216633167;9
Campania;2008;62.94444444444444;8;134;36.199564869374136;18
