Regione;Anno;Media;Minimo;Massimo;DeviazioneStandard;Conteggio
Abruzzo;2013;52.0;32;65;17.578395831246947;3
Abruzzo;2014;49.75;19;71;22.559181427229728;4
Abruzzo;2015;71.5;28;94;29.949958263743873;4
Abruzzo;2016;37.6;2;54;23.458473948660853;5
Abruzzo;2017;27.5;1;53;21.856675998748887;8
Abruzzo;2018;34.5;1;53;19.500915729414203;8
Abruzzo;2019;16.625;1;28;9.575825216211319;8
Abruzzo;2020;35.125;0;60;22.183890551479017;8
Abruzzo;2021;19.375;2;35;12.034919431150577;8
Abruzzo;2022;20.625;1;45;16.38760420038791;8
Basilicata;2013;2.2;0;4;1.7888543819998317;5
Basilicata;2014;9.2;6;14;2.949576240750525;5
Basilicata;2015;9.0;3;22;7.905694150420949;5
Basilicata;2016;6.6;0;12;4.277849927241488;5
Basilicata;2017;6.2;3;11;3.96232255123179;5
Basilicata;2018;4.714285714285714;1;8;2.4299715851758235;7
Basilicata;2019;7.571428571428571;1;12;4.117326918327103;7
Basilicata;2020;6.285714285714286;0;10;3.450327796711771;7
Basilicata;2021;5.857142857142857;0;13;4.810702354423639;7
Basilicata;2022;6.857142857142857;0;14;5.899959644736887;7
Calabria;2009;10.0;3;17;9.899494936611665;2
Calabria;2010;18.0;7;34;14.177446878757825;3
Calabria;2011;25.666666666666668;11;53;23.692474191889147;3
Calabria;2012;11.0;11;11;0.0;3
Calabria;2013;13.0;0;53;19.295940851208403;7
Calabria;2014;12.0;0;54;17.020349811102818;14
Calabria;2015;27.23076923076923;0;71;25.801013695052905;13
Calabria;2016;19.0;0;53;18.29845166491781;13
Calabria;2017;31.0;1;113;33.862466931200785;13
Calabria;2018;19.153846153846153;1;88;24.76504981435919;13
Calabria;2019;15.692307692307692;2;51;16.952800237643217;13
Calabria;2020;12.846153846153847;0;53;18.893765082014728;13
Calabria;2021;14.153846153846153;0;41;13.698212498024173;13
Calabria;2022;5.230769230769231;0;24;9.038379705030525;13
Campania;2004;26.0;26;26;;1
Campania;2007;28.0;28;28;;1
Campania;2008;68.83333333333333;0;115;42.404795326315;6
Campania;2009;61.166666666666664;17;129;38.08105390698459;6
Campania;2010;51.0;4;99;33.87722932393773;7
Campania;2011;59.57142857142857;11;123;33.24082401133253;7
Campania;2012;45.666666666666664;24;62;16.741166825125024;6
Campania;2013;68.5;49;121;27.790286072654954;6
Campania;2014;40.5;19;70;23.594490882407275;6
Campania;2015;67.42857142857143;34;111;29.01641571511514;7
Campania;2016;36.59090909090909;5;69;18.945181799600483;22
Campania;2017;44.125;9;89;27.43737929556494;24
Campania;2018;26.48;3;68;19.33933814793051;25
Campania;2019;33.666666666666664;0;84;25.23581094092587;27
Campania;2020;43.714285714285715;0;105;28.48502809190866;28
Campania;2021;31.535714285714285;0;88;25.25790252993388;28
Campania;2022;39.464285714285715;0;108;29.83719049287209;28
Emilia-Romagna;2008;53.5;11;108;32.119368707274525;14
Emilia-Romagna;2009;72.85714285714286;26;112;24.382956576850386;21
Emilia-Romagna;2010;88.71428571428571;48;121;19.887540967004583;21
Emilia-Romagna;2011;101.18181818181819;51;152;22.865312392847617;22
Emilia-Romagna;2012;95.04761904761905;2;155;31.25776094104661;21
Emilia-Romagna;2013;68.73913043478261;0;124;31.34734640256195;23
